type,features
FeatureCollection,"{'type': 'Feature', 'id': 'node/2429003993', 'properties': {'access': 'yes', 'defibrillator:location': 'Bergsation Eingang Restaurant', 'description': '24/365', 'emergency': 'defibrillator', 'emergency:phone': '144', 'indoor': 'no', 'opening_hours': '24/7', 'operator': 'Luftseilbahn Reigoldswil Wasserfallen', 'id': 'node/2429003993'}, 'geometry': {'type': 'Point', 'coordinates': [7.7000989, 47.3735989]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/2470040383', 'properties': {'emergency': 'defibrillator', 'emergency:phone': '144', 'indoor': 'yes', 'id': 'node/2470040383'}, 'geometry': {'type': 'Point', 'coordinates': [7.6218255, 47.5534401]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/6020115297', 'properties': {'access': 'yes', 'emergency': 'defibrillator', 'emergency:phone': '144', 'indoor': 'no', 'opening_hours': '24/7', 'operator': 'Gemeinde Ettingen', 'id': 'node/6020115297'}, 'geometry': {'type': 'Point', 'coordinates': [7.5458935, 47.4836815]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/7487160561', 'properties': {'emergency': 'defibrillator', 'emergency:phone': '144', 'id': 'node/7487160561'}, 'geometry': {'type': 'Point', 'coordinates': [7.5013715, 47.5365754]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/7559403092', 'properties': {'access': 'yes', 'defibrillator:location': 'Rechts vom Haupteingang in das Gebäude', 'emergency': 'defibrillator', 'emergency:phone': '144', 'opening_hours': '24/7', 'operator': 'Gemeinde Aesch', 'id': 'node/7559403092'}, 'geometry': {'type': 'Point', 'coordinates': [7.5939909, 47.4709205]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/7577586749', 'properties': {'access': 'yes', 'defibrillator:location': 'Am Gemeindehaus', 'emergency': 'defibrillator', 'emergency:phone': '144', 'opening_hours': '24/7', 'id': 'node/7577586749'}, 'geometry': {'type': 'Point', 'coordinates': [7.591066, 47.49363]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/7921080494', 'properties': {'access': 'yes', 'defibrillator:location': 'aussen an der Ecke des Bahnhofsgebäudes', 'emergency': 'defibrillator', 'emergency:phone': '144', 'indoor': 'no', 'opening_hours': '24/7', 'id': 'node/7921080494'}, 'geometry': {'type': 'Point', 'coordinates': [7.6910454, 47.5226535]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/8083465542', 'properties': {'access': 'yes', 'defibrillator:location': 'an der Hauswand, Gebäudefront', 'description': '24h öffentlich zugänglich', 'emergency': 'defibrillator', 'emergency:phone': '144', 'indoor': 'no', 'opening_hours': '24/7', 'id': 'node/8083465542'}, 'geometry': {'type': 'Point', 'coordinates': [7.3397207, 47.4342493]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/8341301240', 'properties': {'access': 'yes', 'defibrillator:location': 'Bei Eingang Turnhalle', 'description': 'nur während Öffnungszeiten verfügbar', 'emergency': 'defibrillator', 'emergency:phone': '144', 'indoor': 'yes', 'operator': 'Stadt Liestal / Michael Augsburger', 'phone': '+41 61 927 52 18', 'id': 'node/8341301240'}, 'geometry': {'type': 'Point', 'coordinates': [7.7279095, 47.484128]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/8341301241', 'properties': {'access': 'yes', 'defibrillator:location': 'Foyer (Eingangsbereich) Sporthalle Frenke, vor Treppenabgang rechts in 1. Untergeschoss', 'description': 'nur während Öffnungszeiten verfügbar', 'emergency': 'defibrillator', 'emergency:phone': '144', 'indoor': 'yes', 'operator': 'Stadt Liestal / Michael Augsburger', 'phone': '+41 61 927 52 18', 'id': 'node/8341301241'}, 'geometry': {'type': 'Point', 'coordinates': [7.7401471, 47.4773656]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/8418047182', 'properties': {'emergency': 'defibrillator', 'emergency:phone': '144', 'id': 'node/8418047182'}, 'geometry': {'type': 'Point', 'coordinates': [7.6917776, 47.3973166]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'node/8418047183', 'properties': {'emergency': 'defibrillator', 'emergency:phone': '144', 'id': 'node/8418047183'}, 'geometry': {'type': 'Point', 'coordinates': [7.6964748, 47.3901512]}}"
